2022.11.17 10:23:45 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users'': success | time=122ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users'': success | time=21ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components'': success | time=35ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches'': success | time=24ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios'': success | time=39ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components'': success | time=15ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table'...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table': success | time=19ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts'...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts': success | time=77ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value'...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value': success | time=132ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL'...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL': success | time=33ms
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references''...
2022.11.17 10:23:45 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references'': success | time=39ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references'': success | time=52ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references'': success | time=21ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues'': success | time=22ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues'': success | time=27ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER': success | time=78ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY': success | time=87ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES': success | time=57ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE': success | time=17ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method'...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method': success | time=22ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties'': success | time=21ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens'': success | time=57ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens'': success | time=52ms
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens''...
2022.11.17 10:23:46 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens'': success | time=48ms
